fid,Baumnummer,Gattung,Stammumfang,Baumhoehe,Kronendurchmesser,Pflanzjahr,Objekt,Art,longitude,latitude
2768,  4472 - Lieg4472,"Acer pseudoplatanus, Berg-Ahorn",60,11,5,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6504068516984,52.178660912428
2769,  4473 - Lieg4473,"Prunus spec., Kirsche, Pflaume",50,8,4,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6504332653836,52.1786131050543
2770,  4474 - Lieg4474,"Prunus spec., Kirsche, Pflaume",50,11,2,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6504571843495,52.1785799225236
2771,  4475 - Lieg4475,"Prunus spec., Kirsche, Pflaume",176,11,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6504830564808,52.1785894131474
2772,  4476 - Lieg4476,"Salix alba, Baum-Weide - Kopf-Weide",400,12,10,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6504424415424,52.1785214392856
2773,  4477 - Lieg4477,"Salix alba, Baum-Weide - Kopf-Weide",98,12,8,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6505166057033,52.1785287651195
2774,  4478 - Lieg4478,"Prunus spec., Kirsche, Pflaume",120,10,7,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6505429930862,52.1784583857114
2775,  4479 - Lieg4479,"Prunus spec., Kirsche, Pflaume",50,7,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6505723106499,52.1784052970421
2776,  4480 - Lieg4480,"Acer pseudoplatanus, Berg-Ahorn",228,11,6,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6505966481522,52.1783693172202
2777,  4481 - Lieg4481,"Prunus avium, Vogelkirsche",60,6,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6499660857303,52.1798070936498
2778,  4482 - Lieg4482,"Prunus avium, Vogelkirsche",50,8,3,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6499265601433,52.1797992587353
2779,  4483 - Lieg4483,"Acer pseudoplatanus, Berg-Ahorn",28,5,2,0,Bäume - Liegenschaftsservice,Liegenschaftsservice,11.6498328507843,52.1797978575536
